well_id	latitude	longitude
gwm-well-1	39.15669715	111.13341895
gwm-well-2	39.06421092	111.11578167
gwm-well-3	39.05620030	111.10711249
gwm-well-4	39.05583618	111.10681355
gwm-well-5	39.05711060	111.10681355
gwm-well-6	39.05583618	111.10651461
gwm-well-7	39.06421092	111.11637954
gwm-well-8	39.05620030	111.10771036
gwm-well-9	39.06421092	111.11608060
gwm-well-10	39.06439298	111.11608060
gwm-well-11	39.05620030	111.10830824
gwm-well-12	39.06421092	111.11667848
gwm-well-13	39.05601824	111.10651461
gwm-well-14	39.06402886	111.11608060
gwm-well-15	39.05711060	111.10711249
gwm-well-16	39.06439298	111.11578167
gwm-well-17	39.15578685	111.13371789
gwm-well-18	39.05711060	111.10741143
gwm-well-19	39.06439298	111.11548273
gwm-well-20	39.05638236	111.10771036
gwm-well-21	39.06457504	111.11578167
gwm-well-22	39.05638236	111.10711249
gwm-well-23	39.06457504	111.11548273
gwm-well-24	39.06530327	111.11906997
gwm-well-25	39.12483673	111.13371789
gwm-well-26	39.12483673	111.13341895
gwm-well-27	39.05565412	111.10621568
gwm-well-28	39.05583618	111.10741143
gwm-well-29	39.06621357	111.12056466
