control_point_id,effect_date,actual_start_head
1,2030-02-04T00:00,-3.4577217112655965
1,2030-02-11T00:00,-3.8469722863552316
1,2030-02-18T00:00,-4.196371533302421
1,2030-02-25T00:00,-4.409508847452912
1,2030-03-04T00:00,-5.0189796017797335
1,2030-03-11T00:00,-5.159726010278064
1,2030-03-18T00:00,-5.003589135858306
1,2030-03-25T00:00,-5.158058489546988
1,2030-04-01T00:00,-4.944548492600006
1,2030-04-08T00:00,-5.068596979828612
1,2030-04-15T00:00,-5.046331911521747
1,2030-04-22T00:00,-4.949810005038444
1,2030-04-29T00:00,-5.138381819436631
1,2030-05-06T00:00,-5.44426532451007
1,2030-05-13T00:00,-5.441352143334598
1,2030-05-20T00:00,-5.5848731386818145
1,2030-05-27T00:00,-5.478896175782893
1,2030-06-03T00:00,-5.574594868429017
1,2030-06-10T00:00,-5.518336160954732
1,2030-06-17T00:00,-5.629758473028801
1,2030-06-24T00:00,-5.556786672856447
1,2030-07-01T00:00,-5.628370649509293
1,2030-07-08T00:00,-5.474779759055309
1,2030-07-15T00:00,-5.463047886818117
1,2030-07-22T00:00,-5.526599012418274
1,2030-07-29T00:00,-5.698832025497495
1,2030-08-05T00:00,-5.546643131902101
1,2030-08-12T00:00,-5.506221642100854
1,2030-08-19T00:00,-5.570796385554331
1,2030-08-26T00:00,-5.510179271917536
1,2030-09-02T00:00,-5.585028036217523
1,2030-09-09T00:00,-5.706830812561634
1,2030-09-16T00:00,-5.376847043177577
1,2030-09-23T00:00,-5.195389457048691
1,2030-09-30T00:00,-4.97533717040028
1,2030-10-07T00:00,-4.715895973434726
1,2030-10-14T00:00,-4.875408295734928
1,2030-10-21T00:00,-4.8975704657752885
1,2030-10-28T00:00,-4.8320736289898605
1,2030-11-04T00:00,-4.714774658795022
1,2030-11-11T00:00,-4.893677027007016
1,2030-11-18T00:00,-4.74658081209418
1,2030-11-25T00:00,-4.857963124864682
1,2030-12-02T00:00,-4.965464295376705
1,2030-12-09T00:00,-4.867197635983416
1,2030-12-16T00:00,-4.9327429410332115
1,2030-12-23T00:00,-4.918925971677368
1,2030-12-30T00:00,-4.965037589434019
1,2031-01-06T00:00,-4.940579653388909
1,2031-01-13T00:00,-5.30296839943037
1,2031-01-20T00:00,-5.317421978340462
1,2031-01-27T00:00,-5.345668465868016
1,2031-02-03T00:00,-5.2616668958776245
1,2031-02-10T00:00,-5.000765671207091
1,2031-02-17T00:00,-5.041384039298009
1,2031-02-24T00:00,-4.939013286094109
1,2031-03-03T00:00,-4.931188537244566
1,2031-03-10T00:00,-4.742977224735796
1,2031-03-17T00:00,-4.751945318869957
1,2031-03-24T00:00,-4.7539129839657335
1,2031-03-31T00:00,-4.686755787901234
1,2031-04-07T00:00,-4.740487295874118
1,2031-04-14T00:00,-4.640503697363442
1,2031-04-21T00:00,-4.740504240706173
1,2031-04-28T00:00,-4.861127880252866
1,2031-05-05T00:00,-5.05215498731809
1,2031-05-12T00:00,-4.977243927879272
1,2031-05-19T00:00,-5.026870648121303
1,2031-05-26T00:00,-4.9635510209431
1,2031-06-02T00:00,-5.084041118060895
1,2031-06-09T00:00,-5.39855396150142
1,2031-06-16T00:00,-5.156884771350519
1,2031-06-23T00:00,-5.161883183995997
1,2031-06-30T00:00,-5.208293968785142
2,2030-02-04T00:00,-3.8331051146576716
2,2030-02-11T00:00,-4.386994744423456
2,2030-02-18T00:00,-4.748911457626453
2,2030-02-25T00:00,-4.851086637767821
2,2030-03-04T00:00,-5.444982418939048
2,2030-03-11T00:00,-5.44214021675964
2,2030-03-18T00:00,-5.449357122917036
2,2030-03-25T00:00,-5.449465567855782
2,2030-04-01T00:00,-5.3119117738002615
2,2030-04-08T00:00,-5.378769336163259
2,2030-04-15T00:00,-5.427611523272162
2,2030-04-22T00:00,-5.6230027620374585
2,2030-04-29T00:00,-5.5669425707591245
2,2030-05-06T00:00,-5.7913331321867645
2,2030-05-13T00:00,-5.899846536103382
2,2030-05-20T00:00,-5.915906897164405
2,2030-05-27T00:00,-5.92452640505428
2,2030-06-03T00:00,-5.964829160161685
2,2030-06-10T00:00,-5.9828269846615285
2,2030-06-17T00:00,-6.012493547681515
2,2030-06-24T00:00,-6.025582473164718
2,2030-07-01T00:00,-6.032812482224699
2,2030-07-08T00:00,-6.053725717436691
2,2030-07-15T00:00,-6.0641280191936175
2,2030-07-22T00:00,-6.08172116886044
2,2030-07-29T00:00,-6.096053321538079
2,2030-08-05T00:00,-6.090491126273719
2,2030-08-12T00:00,-6.084113975131686
2,2030-08-19T00:00,-6.092396305575676
2,2030-08-26T00:00,-6.092634984570509
2,2030-09-02T00:00,-6.104683520364574
2,2030-09-09T00:00,-6.107425292586186
2,2030-09-16T00:00,-5.610936672931757
2,2030-09-23T00:00,-5.383657150533054
2,2030-09-30T00:00,-5.032260952457477
2,2030-10-07T00:00,-4.982019444648472
2,2030-10-14T00:00,-4.942899300399631
2,2030-10-21T00:00,-4.977484170891216
2,2030-10-28T00:00,-4.968064107756732
2,2030-11-04T00:00,-4.945958845456403
2,2030-11-11T00:00,-5.046942648032541
2,2030-11-18T00:00,-4.998026737673513
2,2030-11-25T00:00,-5.085460248682921
2,2030-12-02T00:00,-5.113024942431707
2,2030-12-09T00:00,-5.1146615129468955
2,2030-12-16T00:00,-5.128531321751666
2,2030-12-23T00:00,-5.135997301058637
2,2030-12-30T00:00,-5.364450761820763
2,2031-01-06T00:00,-5.456651440888436
2,2031-01-13T00:00,-5.7341208742841445
2,2031-01-20T00:00,-5.7530464699704
2,2031-01-27T00:00,-5.7377735083258585
2,2031-02-03T00:00,-5.367154478456882
2,2031-02-10T00:00,-5.213719583651937
2,2031-02-17T00:00,-5.09468172797915
2,2031-02-24T00:00,-5.010209901630901
2,2031-03-03T00:00,-4.947236114027078
2,2031-03-10T00:00,-4.93132299921524
2,2031-03-17T00:00,-4.905220000820464
2,2031-03-24T00:00,-4.898530840439548
2,2031-03-31T00:00,-4.868907010763451
2,2031-04-07T00:00,-4.891034754017596
2,2031-04-14T00:00,-4.832548843447626
2,2031-04-21T00:00,-5.14562352418136
2,2031-04-28T00:00,-5.283481081587411
2,2031-05-05T00:00,-5.323334496634743
2,2031-05-12T00:00,-5.410908755007313
2,2031-05-19T00:00,-5.446793361449977
2,2031-05-26T00:00,-5.497541431515515
2,2031-06-02T00:00,-5.495168963464721
2,2031-06-09T00:00,-5.729309310266558
2,2031-06-16T00:00,-5.549113447556692
2,2031-06-23T00:00,-5.524342917533318
2,2031-06-30T00:00,-5.673432582428859
3,2030-02-04T00:00,-2.6050436919905384
3,2030-02-11T00:00,-2.902009928243026
3,2030-02-18T00:00,-3.181213716571873
3,2030-02-25T00:00,-3.3078452879935867
3,2030-03-04T00:00,-3.7825130428670946
3,2030-03-11T00:00,-3.8354433698938237
3,2030-03-18T00:00,-3.772904376127485
3,2030-03-25T00:00,-3.8613939524137777
3,2030-04-01T00:00,-3.721660450917625
3,2030-04-08T00:00,-3.7992830638346504
3,2030-04-15T00:00,-3.814936028120883
3,2030-04-22T00:00,-3.7959076094959983
3,2030-04-29T00:00,-3.880226759974107
3,2030-05-06T00:00,-4.0976553504245885
3,2030-05-13T00:00,-4.14683922504355
3,2030-05-20T00:00,-4.20089376206181
3,2030-05-27T00:00,-4.174524132987926
3,2030-06-03T00:00,-4.222094116134599
3,2030-06-10T00:00,-4.217856776634221
3,2030-06-17T00:00,-4.2743577216947415
3,2030-06-24T00:00,-4.259412079329763
3,2030-07-01T00:00,-4.283107521820739
3,2030-07-08T00:00,-4.215236651329292
3,2030-07-15T00:00,-4.229576472131839
3,2030-07-22T00:00,-4.26208788268616
3,2030-07-29T00:00,-4.355644690586246
3,2030-08-05T00:00,-4.28014923131866
3,2030-08-12T00:00,-4.275660880340979
3,2030-08-19T00:00,-4.304016804803382
3,2030-08-26T00:00,-4.287467907373411
3,2030-09-02T00:00,-4.321277159429997
3,2030-09-09T00:00,-4.384949614562629
3,2030-09-16T00:00,-4.181076082985101
3,2030-09-23T00:00,-4.032680340107845
3,2030-09-30T00:00,-3.832882931691188
3,2030-10-07T00:00,-3.6790782259814705
3,2030-10-14T00:00,-3.739887028872431
3,2030-10-21T00:00,-3.730724803711155
3,2030-10-28T00:00,-3.69016504806757
3,2030-11-04T00:00,-3.618017297377264
3,2030-11-11T00:00,-3.756680709710963
3,2030-11-18T00:00,-3.6513778438350073
3,2030-11-25T00:00,-3.6819185857572165
3,2030-12-02T00:00,-3.7370691521335857
3,2030-12-09T00:00,-3.689539327580519
3,2030-12-16T00:00,-3.719971734353976
3,2030-12-23T00:00,-3.7124485003653263
3,2030-12-30T00:00,-3.7719827127522194
3,2031-01-06T00:00,-3.7941998446312937
3,2031-01-13T00:00,-4.032791608149182
3,2031-01-20T00:00,-4.047731575733792
3,2031-01-27T00:00,-4.062202661174979
3,2031-02-03T00:00,-3.9803785718107747
3,2031-02-10T00:00,-3.8204533138570014
3,2031-02-17T00:00,-3.8100522953499194
3,2031-02-24T00:00,-3.7329172276228064
3,2031-03-03T00:00,-3.708835322115874
3,2031-03-10T00:00,-3.603679891763022
3,2031-03-17T00:00,-3.6045458380257287
3,2031-03-24T00:00,-3.6037673053485832
3,2031-03-31T00:00,-3.5674288468984514
3,2031-04-07T00:00,-3.5954040460441092
3,2031-04-14T00:00,-3.544421009935718
3,2031-04-21T00:00,-3.6197966636863157
3,2031-04-28T00:00,-3.710164861894441
3,2031-05-05T00:00,-3.818731284983187
3,2031-05-12T00:00,-3.805158422943464
3,2031-05-19T00:00,-3.8386444660462757
3,2031-05-26T00:00,-3.8029781749219183
3,2031-06-02T00:00,-3.875682849058535
3,2031-06-09T00:00,-4.157252895022339
3,2031-06-16T00:00,-3.935981627431943
3,2031-06-23T00:00,-3.9269922430053157
3,2031-06-30T00:00,-3.976428599537826
4,2030-02-04T00:00,-2.5302508225555336
4,2030-02-11T00:00,-2.4958424964559343
4,2030-02-18T00:00,-2.5101754597750894
4,2030-02-25T00:00,-2.4767392486976405
4,2030-03-04T00:00,-2.4631783211426637
4,2030-03-11T00:00,-2.511419391363688
4,2030-03-18T00:00,-2.5617714973332113
4,2030-03-25T00:00,-2.6074432872528632
4,2030-04-01T00:00,-2.6005742189153125
4,2030-04-08T00:00,-2.6351875930132564
4,2030-04-15T00:00,-2.6683377628846756
4,2030-04-22T00:00,-2.701384854510934
4,2030-04-29T00:00,-2.709451698567591
4,2030-05-06T00:00,-2.7694501420917277
4,2030-05-13T00:00,-2.828743982086621
4,2030-05-20T00:00,-2.857274987403116
4,2030-05-27T00:00,-2.8893977529286303
4,2030-06-03T00:00,-2.9288445213518344
4,2030-06-10T00:00,-2.9649880624245952
4,2030-06-17T00:00,-3.0001940077926292
4,2030-06-24T00:00,-3.032477871110814
4,2030-07-01T00:00,-3.0452802980288425
4,2030-07-08T00:00,-3.071197075318196
4,2030-07-15T00:00,-3.0974639075129744
4,2030-07-22T00:00,-3.122667331449975
4,2030-07-29T00:00,-3.1418726014767344
4,2030-08-05T00:00,-3.1585980161835323
4,2030-08-12T00:00,-3.17977457783752
4,2030-08-19T00:00,-3.200454027654132
4,2030-08-26T00:00,-3.2196413251620015
4,2030-09-02T00:00,-3.2376508345319053
4,2030-09-09T00:00,-3.2422399239889046
4,2030-09-16T00:00,-3.2538247561819844
4,2030-09-23T00:00,-3.2576626873900523
4,2030-09-30T00:00,-3.2243178868137647
4,2030-10-07T00:00,-3.1940011588978905
4,2030-10-14T00:00,-3.1598155083510164
