lag,response
25,1.462e-09
26,8.628e-10
27,7.678e-10
28,7.242e-10
29,5.227e-10
30,5.426e-10
31,2.259e-10
32,2.436e-10
33,2.321e-10
34,3.029e-10
35,-9.69e-11
36,-2.309e-10
37,2.235e-10
38,-1.493e-08
39,-9.388e-09
40,-5.689e-09
41,-3.856e-09
42,-2.855e-09
43,-3.677e-09
44,2.567e-09
45,3.516e-09
46,1.986e-09
47,1.515e-09
48,7.768e-10
49,8.012e-10
50,6.638e-10
51,4.456e-10
52,-1.488e-10
53,1.132e-08
54,1.056e-08
55,6.679e-09
56,4.781e-09
57,3.348e-09
58,2.06e-09
59,1.022e-09
60,1.432e-10
61,5.395e-10
62,3.762e-10
63,1.96e-10
64,2.301e-10
65,1.385e-10
66,1.584e-12
67,5.216e-11
68,-9.601e-11
69,4.023e-11
70,-3.756e-11
71,1.543e-10
72,-1.367e-11
73,5.041e-11
74,-3.605e-11
75,1.417e-10
76,7.271e-11
77,-1.471e-10
0,-4.625e-07
1,-4.444e-07
2,-3.245e-07
3,-2.196e-07
4,-1.572e-07
5,-1.019e-07
6,-6.725e-08
7,-4.52e-08
8,-1.614e-08
9,-1.102e-08
10,-8.111e-09
11,-4.922e-09
12,-1.472e-08
13,-1.099e-08
14,-8.109e-09
15,-6.247e-09
16,-1.375e-08
17,4.295e-10
18,3.644e-09
19,3.043e-09
20,2.235e-09
21,2.42e-09
22,2.504e-09
23,2.68e-09
24,2.578e-09
25,1.097e-09
26,4.076e-10
27,3.841e-10
28,4.141e-10
29,1.817e-10
30,-3.478e-10
31,-8.097e-11
32,2.374e-10
33,4.83e-10
34,6.272e-10
35,-4.4e-10
36,-6.479e-10
37,-3.013e-10
38,-5.491e-09
39,-5.255e-09
40,-4.052e-09
41,-3.717e-09
42,-4.272e-09
43,-4.252e-09
44,5.91e-09
45,4.558e-09
46,3.539e-09
47,2.492e-09
48,1.799e-09
49,1.295e-09
50,9.568e-10
51,6.128e-10
52,1.976e-10
53,4.908e-09
54,5.119e-09
55,3.626e-09
56,2.741e-09
57,2.08e-09
58,1.441e-09
59,6.153e-10
60,-1.687e-10
61,2.363e-10
62,1.97e-10
63,1.827e-10
64,1.751e-10
65,2.167e-10
66,4.141e-10
67,2.289e-10
68,1.229e-10
69,-3.136e-12
70,-2.887e-11
71,6.734e-13
72,-2.359e-11
73,-3.85e-11
74,-8.282e-11
75,2.355e-11
76,-1.871e-11
77,3.553e-12
0,-6.144e-09
1,-2.757e-08
2,-2.34e-08
3,-1.883e-08
4,-1.034e-08
5,-1.139e-08
6,-1.293e-08
7,-1.143e-08
8,1.92e-08
9,1.596e-08
10,8.036e-09
11,7.67e-09
12,-1.399e-08
13,-9.872e-09
14,-7.25e-09
15,-3.076e-09
16,-2.141e-08
17,1.643e-09
18,4.397e-09
19,3.258e-09
20,1.484e-09
21,2.515e-09
22,2.346e-09
23,2.652e-09
24,2.45e-09
25,1.079e-09
26,3.324e-09
27,2.14e-09
28,2.458e-09
29,-4.943e-11
30,2.731e-09
31,1.558e-09
32,1.818e-09
33,1.57e-09
34,1.833e-09
35,-5.914e-10
36,-1.995e-09
37,7.024e-12
38,-1.269e-08
39,-8.791e-09
40,-6.202e-09
41,-5.527e-09
42,-5.682e-09
43,-5.54e-09
44,7.148e-09
45,3.315e-09
46,3.677e-09
47,3.637e-09
48,1.408e-09
49,1.758e-09
50,1.539e-09
51,1.091e-09
52,-9.54e-10
53,1.405e-08
54,1.181e-08
55,6.49e-09
56,4.941e-09
57,4.741e-09
58,2.333e-09
59,8.198e-10
60,-8.028e-10
61,1.982e-09
62,1.304e-09
63,1.189e-09
64,-1.271e-09
65,1.688e-09
66,-3.581e-09
67,1.366e-09
68,8.168e-10
69,-3.008e-09
70,1.314e-09
71,1.133e-09
72,9.396e-10
73,1.072e-09
74,-2.766e-09
75,-8.453e-10
76,-4.722e-10
77,-1.203e-09
0,-4.309e-09
1,-2.476e-08
2,-1.835e-08
3,-1.348e-08
4,-1.629e-08
5,-1.581e-08
6,-8.892e-09
7,-9.542e-09
8,2.016e-08
9,1.623e-08
10,8.201e-09
11,1.305e-08
12,-6.972e-09
13,-4.49e-09
14,-3.261e-09
15,-1.061e-08
16,-1.764e-08
17,7.175e-09
18,1.046e-08
19,1.011e-08
20,9.114e-09
21,8.575e-09
22,7.868e-09
23,8.498e-09
24,7.488e-09
25,5.627e-09
26,-2.928e-09
27,-1.829e-09
28,-2.255e-09
29,4.514e-09
30,-3.266e-09
31,-2.716e-09
32,-2.622e-09
33,-3.179e-09
34,-2.782e-09
35,2.926e-09
36,-7.334e-10
37,-1.362e-09
38,-4.578e-09
39,-1.971e-08
40,-1.172e-09
41,-2.901e-09
42,-3.535e-09
43,-7.978e-09
44,1.228e-08
45,3.396e-10
46,-3.81e-09
47,6.527e-09
48,-1.473e-09
49,2.455e-09
50,7.503e-10
51,2.937e-10
52,-1.329e-09
53,1.642e-08
54,1.367e-08
55,1.224e-08
56,1.404e-08
57,1.79e-10
58,1.051e-08
59,6.338e-09
60,9.947e-09
61,-1.418e-10
62,3.116e-10
63,5.481e-10
64,1.013e-09
65,-8.686e-10
66,3.115e-09
67,-1.104e-09
68,-1.232e-09
69,1.537e-09
70,-9.691e-10
71,-7.427e-10
72,-7.49e-10
73,-8.691e-10
74,2.097e-09
75,1.033e-09
76,4.879e-10
77,-9.78e-12
0,-4.994e-06
1,-7.891e-07
2,-3.577e-07
3,-1.948e-07
4,-1.225e-07
5,-7.188e-08
6,-4.503e-08
7,-2.906e-08
8,-1.312e-08
9,-1.014e-08
10,-5.878e-09
11,-3.566e-09
12,-1.012e-08
13,-7.118e-09
14,-4.863e-09
15,-3.593e-09
16,-8.565e-09
17,1.929e-09
18,3.075e-09
19,1.946e-09
20,1.357e-09
21,1.599e-09
22,1.697e-09
23,1.876e-09
24,1.76e-09
25,5.229e-10
26,1.223e-10
27,1.328e-10
28,1.768e-10
29,2.757e-11
30,-4.317e-10
31,-3.652e-11
32,2.685e-10
33,4.865e-10
34,5.886e-10
35,-4.262e-10
36,-1.849e-10
37,-1.436e-10
38,-3.803e-09
39,-3.036e-09
40,-2.162e-09
41,-1.825e-09
42,-2.921e-09
43,-2.979e-09
44,7.352e-09
45,4.061e-09
46,2.4e-09
47,1.734e-09
48,1.295e-09
49,9.141e-10
50,5.308e-10
51,3.799e-10
52,1.167e-10
53,3.403e-09
54,2.733e-09
55,1.72e-09
56,1.424e-09
57,1.042e-09
58,6.729e-10
59,1.851e-10
60,-2.729e-10
61,9.212e-11
62,1.361e-10
63,-4.415e-11
64,-1.168e-11
65,1.995e-10
66,3.808e-10
67,1.822e-10
68,-4.865e-11
69,-9.778e-11
70,-3.75e-11
71,-2.813e-11
72,5.494e-12
73,-3.301e-11
74,-3.764e-11
75,1.166e-11
76,-3.064e-12
77,5.054e-11
0,-1.951e-07
1,-2.047e-07
2,-1.509e-07
3,-1.087e-07
4,-7.811e-08
5,-5.519e-08
6,-3.82e-08
7,-2.672e-08
8,-1.952e-09
9,-3.013e-09
10,-3.815e-09
11,-1.656e-09
12,-1.22e-08
13,-7.707e-09
14,-5.294e-09
15,-4.105e-09
16,-1.295e-08
17,2.749e-09
18,4.375e-09
19,2.782e-09
20,1.842e-09
21,2.073e-09
22,2.168e-09
23,2.286e-09
24,2.139e-09
25,8.112e-10
26,3.522e-10
27,4.435e-10
28,4.856e-10
29,2.611e-10
30,-1.787e-10
31,2.164e-10
32,3.533e-10
33,4.802e-10
34,5.637e-10
35,-3.791e-10
36,-1.799e-10
37,-1.406e-10
38,-5.251e-09
39,-4.204e-09
40,-3.011e-09
41,-2.834e-09
42,-2.582e-09
43,-2.91e-09
44,5.082e-09
45,3.16e-09
46,2.439e-09
47,1.558e-09
48,1.07e-09
49,7.793e-10
50,6.567e-10
51,4.425e-10
52,2.246e-11
53,5.919e-09
54,5.134e-09
55,3.107e-09
56,2.355e-09
57,1.641e-09
58,1.109e-09
59,3.849e-10
60,-2.849e-10
61,2.272e-10
62,1.276e-10
63,1.211e-10
64,1.232e-10
65,2.426e-10
66,4.319e-10
67,1.914e-10
68,8.686e-11
69,-1.051e-10
70,-7.872e-11
71,5.39e-11
72,-4.636e-11
73,1.129e-11
74,-2.837e-11
75,1.662e-11
76,3.263e-11
77,-1.672e-11
0,-1.973e-08
1,-3.837e-08
2,-2.991e-08
3,-2.161e-08
4,-1.728e-08
5,-1.293e-08
6,-1.091e-08
7,1.263e-08
8,2.016e-08
9,9.459e-09
10,1.261e-08
11,-1.045e-08
12,-7.905e-09
13,-5.805e-09
14,-1.016e-08
15,-9.108e-10
16,3.905e-09
17,3.133e-09
18,4.323e-09
19,2.41e-09
20,2.92e-09
21,2.579e-09
22,3.714e-09
23,2.716e-09
24,1.659e-09
25,-2.356e-09
26,-2.197e-09
27,-1.472e-09
28,1.945e-09
29,-2.175e-09
30,-2.244e-09
31,-1.511e-09
32,-2.254e-09
33,-1.289e-09
