control_point_id,effect_date,actual_start_head
1,2030-01-28T00:00,823.6985053003795
1,2030-02-04T00:00,815.8777217112656
1,2030-02-11T00:00,824.5569722863552
1,2030-02-18T00:00,841.4863715333024
1,2030-02-25T00:00,833.4095088474529
1,2030-03-04T00:00,834.0189796017797
1,2030-03-11T00:00,834.1597260102781
1,2030-03-18T00:00,834.0035891358583
1,2030-03-25T00:00,834.158058489547
1,2030-04-01T00:00,833.9445484926
1,2030-04-08T00:00,834.0685969798286
1,2030-04-15T00:00,834.0463319115217
1,2030-04-22T00:00,833.9498100050384
1,2030-04-29T00:00,834.1383818194366
1,2030-05-06T00:00,834.4442653245101
1,2030-05-13T00:00,834.4413521433346
1,2030-05-20T00:00,834.5848731386818
1,2030-05-27T00:00,834.4788961757829
1,2030-06-03T00:00,834.574594868429
1,2030-06-10T00:00,834.5183361609547
1,2030-06-17T00:00,834.6297584730288
1,2030-06-24T00:00,834.5567866728564
1,2030-07-01T00:00,834.6283706495093
1,2030-07-08T00:00,834.4747797590553
1,2030-07-15T00:00,834.4630478868181
1,2030-07-22T00:00,834.5265990124183
1,2030-07-29T00:00,834.6988320254975
1,2030-08-05T00:00,834.5466431319021
1,2030-08-12T00:00,834.5062216421009
1,2030-08-19T00:00,834.5707963855543
1,2030-08-26T00:00,834.5101792719175
1,2030-09-02T00:00,834.5850280362175
1,2030-09-09T00:00,834.7068308125616
1,2030-09-16T00:00,834.3768470431776
1,2030-09-23T00:00,834.1953894570487
1,2030-09-30T00:00,833.9753371704003
1,2030-10-07T00:00,833.7158959734347
1,2030-10-14T00:00,833.8754082957349
1,2030-10-21T00:00,833.8975704657753
1,2030-10-28T00:00,833.8320736289899
1,2030-11-04T00:00,833.714774658795
1,2030-11-11T00:00,833.893677027007
1,2030-11-18T00:00,833.7465808120942
1,2030-11-25T00:00,833.8579631248647
1,2030-12-02T00:00,833.9654642953767
1,2030-12-09T00:00,833.8671976359834
1,2030-12-16T00:00,833.9327429410332
1,2030-12-23T00:00,833.9189259716774
1,2030-12-30T00:00,833.965037589434
1,2031-01-06T00:00,833.9405796533889
1,2031-01-13T00:00,834.3029683994304
1,2031-01-20T00:00,834.3174219783405
1,2031-01-27T00:00,834.345668465868
1,2031-02-03T00:00,834.2616668958776
1,2031-02-10T00:00,834.0007656712071
1,2031-02-17T00:00,834.041384039298
1,2031-02-24T00:00,833.9390132860941
1,2031-03-03T00:00,833.9311885372446
1,2031-03-10T00:00,833.7429772247358
1,2031-03-17T00:00,833.75194531887
1,2031-03-24T00:00,833.7539129839657
1,2031-03-31T00:00,833.6867557879012
1,2031-04-07T00:00,833.7404872958741
1,2031-04-14T00:00,833.6405036973634
1,2031-04-21T00:00,833.7405042407062
1,2031-04-28T00:00,833.8611278802529
1,2031-05-05T00:00,834.0521549873181
1,2031-05-12T00:00,833.9772439278793
1,2031-05-19T00:00,834.0268706481213
1,2031-05-26T00:00,833.9635510209431
1,2031-06-02T00:00,834.0840411180609
1,2031-06-09T00:00,834.3985539615014
1,2031-06-16T00:00,834.1568847713505
1,2031-06-23T00:00,834.161883183996
1,2031-06-30T00:00,834.2082939687851
2,2030-01-28T00:00,824.0028097967214
2,2030-02-04T00:00,816.2531051146576
2,2030-02-11T00:00,825.0969947444235
2,2030-02-18T00:00,842.0389114576265
2,2030-02-25T00:00,833.8510866377678
2,2030-03-04T00:00,834.444982418939
2,2030-03-11T00:00,834.4421402167596
2,2030-03-18T00:00,834.449357122917
2,2030-03-25T00:00,834.4494655678558
2,2030-04-01T00:00,834.3119117738003
2,2030-04-08T00:00,834.3787693361633
2,2030-04-15T00:00,834.4276115232722
2,2030-04-22T00:00,834.6230027620375
2,2030-04-29T00:00,834.5669425707591
2,2030-05-06T00:00,834.7913331321868
2,2030-05-13T00:00,834.8998465361034
2,2030-05-20T00:00,834.9159068971644
2,2030-05-27T00:00,834.9245264050543
2,2030-06-03T00:00,834.9648291601617
2,2030-06-10T00:00,834.9828269846615
2,2030-06-17T00:00,835.0124935476815
2,2030-06-24T00:00,835.0255824731647
2,2030-07-01T00:00,835.0328124822247
2,2030-07-08T00:00,835.0537257174367
2,2030-07-15T00:00,835.0641280191936
2,2030-07-22T00:00,835.0817211688604
2,2030-07-29T00:00,835.0960533215381
2,2030-08-05T00:00,835.0904911262737
2,2030-08-12T00:00,835.0841139751317
2,2030-08-19T00:00,835.0923963055757
2,2030-08-26T00:00,835.0926349845705
2,2030-09-02T00:00,835.1046835203646
2,2030-09-09T00:00,835.1074252925862
2,2030-09-16T00:00,834.6109366729318
2,2030-09-23T00:00,834.383657150533
2,2030-09-30T00:00,834.0322609524575
2,2030-10-07T00:00,833.9820194446485
2,2030-10-14T00:00,833.9428993003996
2,2030-10-21T00:00,833.9774841708912
